local_client_index,dataset_client_id,train_samples
147,f0157_12,335
148,f0158_20,351
149,f0159_14,357
150,f0160_11,315
151,f0161_16,374
152,f0162_02,285
153,f0163_13,364
154,f0164_32,387
155,f0165_04,328
156,f0166_12,279
157,f0167_33,322
158,f0168_36,333
159,f0170_40,351
160,f0171_26,355
161,f0172_40,370
162,f0173_00,307
163,f0174_06,349
164,f0175_47,297
165,f0176_30,271
166,f0178_39,315
167,f0179_22,297
168,f0180_29,336
169,f0181_31,350
170,f0183_22,350
171,f0184_49,294
172,f0185_23,355
173,f0186_14,300
174,f0187_18,373
175,f0188_36,361
176,f0189_49,312
177,f0190_12,386
178,f0191_22,326
179,f0192_22,324
180,f0193_48,287
181,f0194_30,314
182,f0196_10,361
183,f0197_34,375
184,f0198_18,289
185,f0199_01,390
186,f0201_34,308
187,f0202_09,308
188,f0203_21,384
189,f0204_21,319
190,f0205_15,299
191,f0206_38,271
192,f0207_46,352
193,f0208_05,372
194,f0210_17,318
195,f0211_26,368
196,f0212_24,292
197,f0214_05,314
198,f0215_32,276
199,f0216_26,293
200,f0217_16,291
201,f0218_04,333
202,f0219_48,363
203,f0220_49,295
204,f0221_37,311
205,f0222_06,312
206,f0223_49,254
207,f0224_06,357
208,f0225_20,296
209,f0226_08,324
210,f0227_27,331
211,f0228_36,273
212,f0229_10,317
213,f0230_04,312
214,f0231_43,265
215,f0232_28,258
216,f0233_14,297
217,f0234_16,304
218,f0235_17,279
219,f0236_17,267
220,f0237_46,281
221,f0238_02,280
222,f0239_15,322
223,f0240_02,351
224,f0241_46,356
225,f0242_22,364
226,f0243_29,362
227,f0244_47,276
228,f0245_40,349
229,f0246_12,381
230,f0248_43,265
231,f0249_46,291
232,f0251_00,331
233,f0252_30,363
234,f0253_40,342
235,f0254_46,387
236,f0255_48,377
237,f0256_08,380
238,f0257_46,336
239,f0258_41,355
240,f0259_41,318
241,f0260_38,343
242,f0261_06,525
243,f0262_15,340
244,f0263_31,355
245,f0264_18,338
246,f0265_39,341
247,f0266_14,338
248,f0267_24,353
249,f0268_19,288
250,f0269_21,314
251,f0271_05,354
252,f0272_13,276
253,f0273_27,305
254,f0274_49,318
255,f0275_17,328
256,f0276_07,321
257,f0277_33,299
258,f0278_07,358
259,f0279_03,342
260,f0280_20,344
261,f0281_47,382
262,f0282_04,306
263,f0283_31,274
264,f0284_34,365
265,f0285_23,314
266,f0286_16,332
267,f0287_15,361
268,f0288_48,276
269,f0289_10,418
270,f0290_29,319
271,f0291_06,304
272,f0292_16,398
273,f0293_40,310
274,f0295_17,344
275,f0296_20,358
276,f0297_05,347
277,f0298_13,338
278,f0299_33,279
279,f0300_24,305
280,f0301_33,344
281,f0302_47,360
282,f0303_00,355
283,f0304_23,337
284,f0305_08,347
285,f0306_35,313
286,f0307_12,324
287,f0308_10,292
288,f0309_42,302
289,f0310_32,344
290,f0311_48,283
291,f0312_43,375
292,f0313_43,299
293,f0314_27,342
294,f0315_31,383
295,f0316_21,342
296,f0317_44,378
297,f0318_44,346
298,f0319_32,288
299,f0320_41,384
300,f0321_36,349
301,f0323_17,295
302,f0325_17,317
303,f0326_35,342
304,f0327_43,363
305,f0328_12,370
306,f0329_34,326
307,f0330_09,376
308,f0331_41,276
309,f0332_15,353
310,f0333_01,264
311,f0335_14,385
312,f0336_37,261
313,f0337_24,392
314,f0338_35,337
315,f0339_11,298
316,f0340_05,300
317,f0341_00,311
318,f0342_31,332
319,f0343_35,329
320,f0344_25,385
321,f0345_23,351
322,f0347_04,371
323,f0348_46,324
324,f0349_40,289
325,f0350_03,305
326,f0351_22,339
327,f0352_09,294
328,f0353_18,255
329,f0355_32,348
330,f0356_41,333
331,f0357_21,311
332,f0358_32,321
333,f0359_05,360
334,f0360_15,378
335,f0361_07,374
336,f0362_44,344
337,f0364_10,293
338,f0365_07,256
339,f0366_08,312
340,f0367_33,331
341,f0368_39,325
342,f0369_34,289
343,f0370_20,337
344,f0371_24,260
345,f0372_33,295
346,f0373_35,345
347,f0374_13,345
348,f0376_05,337
349,f0377_25,338
350,f0379_10,377
351,f0380_37,310
352,f0381_28,324
353,f0382_03,338
354,f0383_43,332
355,f0384_36,345
356,f0385_18,342
357,f0387_49,283
358,f0388_26,269
359,f0389_38,333
360,f0390_33,324
361,f0391_32,254
362,f0392_15,353
363,f0393_18,320
364,f0395_15,380
365,f0397_27,305
366,f0398_37,274
367,f0399_44,353
368,f0400_25,253
369,f0401_11,367
370,f0402_38,351
371,f0403_29,358
372,f0404_33,339
373,f0405_20,311
374,f0406_00,266
375,f0407_39,287
376,f0408_03,304
377,f0409_49,364
378,f0410_43,297
379,f0412_26,284
380,f0413_09,327
381,f0414_22,310
382,f0415_28,346
383,f0417_44,312
384,f0418_21,307
385,f0420_19,318
386,f0421_33,271
387,f0422_45,263
388,f0424_27,284
389,f0427_40,279
390,f0429_13,313
391,f0430_02,315
392,f0431_36,362
393,f0432_28,279
394,f0434_21,286
395,f0435_37,272
396,f0436_17,333
397,f0437_05,324
398,f0438_19,261
399,f0439_08,339
400,f0440_17,288
401,f0441_00,343
402,f0442_00,335
403,f0443_21,376
404,f0444_34,366
405,f0445_46,362
406,f0446_03,356
407,f0448_39,276
408,f0451_44,378
409,f0452_37,307
410,f0453_45,353
411,f0454_20,350
412,f0456_45,336
413,f0458_38,360
414,f0460_02,345
415,f0461_47,362
416,f0463_09,332
417,f0465_42,378
418,f0466_11,361
419,f0467_18,272
420,f0468_24,365
421,f0469_20,348
422,f0470_37,316
423,f0471_15,298
424,f0472_36,371
425,f0473_21,373
426,f0477_46,352
427,f0478_10,314
428,f0479_35,329
429,f0480_41,266
430,f0481_47,365
431,f0482_06,325
432,f0483_42,307
433,f0484_46,324
434,f0485_45,344
435,f0486_05,291
436,f0487_42,296
437,f0488_39,347
438,f0489_49,339
439,f0490_13,288
440,f0491_35,280
441,f0492_08,342
442,f0493_05,344
443,f0494_20,371
444,f0495_04,378
445,f0496_09,323
446,f0497_00,260
447,f0498_06,307
448,f0499_10,266
449,f0500_38,305
450,f0501_06,340
451,f0502_09,354
452,f0503_44,331
453,f0506_18,328
454,f0507_19,312
455,f0508_20,325
456,f0510_47,301
457,f0511_03,260
458,f0512_15,307
459,f0513_18,324
460,f0514_14,328
461,f0515_18,341
462,f0516_45,270
463,f0518_02,363
464,f0519_46,355
465,f0520_25,295
466,f0521_14,347
467,f0522_38,327
468,f0523_42,285
469,f0524_04,265
470,f0525_15,335
471,f0526_22,315
472,f0527_23,287
473,f0530_15,368
474,f0531_48,257
475,f0533_32,316
476,f0534_00,372
477,f0535_19,297
478,f0536_45,293
479,f0537_35,275
480,f0538_03,279
481,f0541_47,324
482,f0543_19,314
483,f0544_05,333
484,f0545_49,298
485,f0546_38,256
486,f0547_28,374
487,f0548_49,323
488,f0549_39,312
489,f0550_24,333
490,f0552_46,297
491,f0553_03,260
492,f0554_17,354
493,f0556_25,273
494,f0557_33,330
495,f0558_01,310
496,f0559_18,366
497,f0560_16,351
498,f0561_12,310
499,f0562_31,367
500,f0564_43,262
501,f0565_03,303
502,f0566_02,268
503,f0567_25,288
504,f0568_00,323
505,f0569_42,267
506,f0570_31,332
507,f0571_24,324
508,f0572_15,330
509,f0573_31,319
510,f0574_03,345
511,f0575_25,278
512,f0576_01,324
513,f0577_19,330
514,f0580_29,297
515,f0581_30,257
516,f0583_26,328
517,f0584_22,264
518,f0585_26,319
519,f0586_11,314
520,f0587_34,319
521,f0588_19,341
522,f0589_20,273
523,f0590_06,277
524,f0591_27,294
525,f0593_46,286
526,f0594_00,298
527,f0595_35,303
528,f0596_26,354
529,f0597_00,359
530,f0601_32,271
531,f0602_16,316
532,f0603_11,293
533,f0604_11,347
534,f0605_00,345
535,f0606_11,315
536,f0607_27,310
537,f0609_12,309
538,f0610_38,250
539,f0611_34,290
540,f0612_11,297
541,f0613_28,375
542,f0614_14,274
543,f0615_00,338
544,f0616_04,363
545,f0617_30,292
546,f0618_44,342
547,f0620_49,317
548,f0621_33,328
549,f0622_25,369
550,f0623_37,286
551,f0625_26,331
552,f0626_23,297
553,f0627_14,253
554,f0628_05,319
555,f0629_39,295
556,f0630_16,332
557,f0631_03,351
558,f0632_45,301
559,f0633_18,372
560,f0634_01,307
561,f0635_33,356
562,f0637_21,266
563,f0638_07,288
564,f0639_24,300
565,f0640_19,287
566,f0641_22,357
567,f0642_27,326
568,f0643_23,329
569,f0644_19,393
570,f0645_45,265
571,f0646_22,268
572,f0647_19,252
573,f0648_23,340
574,f0649_22,269
575,f0650_31,303
576,f0651_45,252
577,f0652_30,303
578,f0653_02,311
579,f0654_02,270
580,f0656_11,272
581,f0658_30,290
582,f0659_24,280
583,f0660_10,357
584,f0661_44,316
585,f0662_29,281
586,f0663_30,307
587,f0665_47,351
588,f0666_20,318
589,f0667_05,296
590,f0668_31,316
591,f0671_18,317
592,f0672_28,320
593,f0673_28,360
594,f0674_44,284
595,f0675_24,292
596,f0676_08,318
597,f0678_26,275
598,f0679_42,374
599,f0680_28,349
600,f0681_47,324
601,f0682_48,265
602,f0683_02,291
603,f0686_09,346
604,f0687_43,353
605,f0690_26,367
606,f0693_40,342
607,f0694_49,272
608,f0695_31,331
609,f0696_13,302
610,f0697_31,334
611,f0698_45,374
612,f0699_19,361
613,f0700_20,335
614,f0701_21,353
615,f0702_46,251
616,f0703_11,271
617,f0704_31,308
618,f0705_35,307
619,f0706_13,363
620,f0707_44,307
621,f0708_14,343
622,f0709_40,315
623,f0710_08,301
624,f0711_11,303
625,f0712_09,317
626,f0713_17,324
627,f0716_15,285
628,f0717_46,352
629,f0718_13,302
630,f0719_05,254
631,f0720_38,260
632,f0721_31,312
633,f0722_29,306
634,f0723_20,347
635,f0724_37,313
636,f0725_46,329
637,f0726_09,268
638,f0727_27,300
639,f0728_14,317
640,f0730_41,332
641,f0731_05,309
642,f0733_34,325
643,f0734_39,324
644,f0735_17,316
645,f0736_38,320
646,f0737_49,342
647,f0738_13,291
648,f0739_42,298
649,f0741_44,288
650,f0742_09,259
651,f0743_31,383
652,f0744_23,286
653,f0745_35,360
654,f0747_24,335
655,f0749_12,270
656,f0750_18,360
657,f0751_28,353
658,f0752_25,367
659,f0753_05,306
660,f0754_01,257
661,f0756_22,341
662,f0759_41,293
663,f0761_10,331
664,f0762_20,316
665,f0763_30,329
666,f0764_08,341
667,f0765_33,360
668,f0766_01,324
669,f0767_25,283
670,f0768_20,283
671,f0769_14,313
672,f0770_45,331
673,f0771_13,275
674,f0772_14,349
675,f0773_10,262
676,f0774_40,337
677,f0775_24,333
678,f0777_12,337
679,f0778_20,324
680,f0780_06,253
681,f0781_31,270
682,f0782_49,313
683,f0783_27,349
684,f0784_30,282
685,f0786_07,288
686,f0788_34,251
687,f0789_10,312
688,f0791_04,283
689,f0792_07,349
690,f0793_02,322
691,f0795_37,356
692,f0796_08,255
693,f0797_22,306
694,f0798_05,261
695,f0799_13,257
696,f0800_00,250
697,f0801_25,272
698,f0802_22,262
699,f0803_40,275
700,f0804_00,368
701,f0805_48,322
702,f0806_09,342
703,f0807_16,278
704,f0808_46,298
705,f0809_16,305
706,f0811_49,330
707,f0812_32,342
708,f0813_02,286
709,f0814_03,343
710,f0815_12,367
711,f0816_18,292
712,f0818_03,320
713,f0819_13,305
714,f0820_47,276
715,f0821_44,288
716,f0822_30,312
717,f0823_19,258
718,f0824_18,251
719,f0826_18,286
720,f0827_09,346
721,f0828_34,298
722,f0829_00,312
723,f0831_15,345
724,f0834_03,358
725,f0835_08,298
726,f0836_28,256
727,f0838_49,342
728,f0839_37,352
729,f0840_37,356
730,f0841_10,351
731,f0842_22,320
732,f0843_06,373
733,f0844_42,268
734,f0845_22,272
735,f0846_32,277
736,f0849_38,310
737,f0850_30,296
738,f0852_40,319
739,f0853_05,309
740,f0854_12,337
741,f0858_32,330
742,f0859_01,303
743,f0860_21,357
744,f0862_25,327
745,f0863_41,380
746,f0864_41,310
747,f0865_24,353
748,f0866_22,293
749,f0867_28,340
750,f0868_03,339
751,f0870_31,263
752,f0871_23,302
753,f0872_30,296
754,f0873_42,341
755,f0874_26,366
756,f0876_43,358
757,f0877_17,355
758,f0878_21,337
759,f0879_35,351
760,f0880_16,263
761,f0884_29,263
762,f0885_39,292
763,f0886_40,338
764,f0887_39,352
765,f0888_25,331
766,f0889_48,300
767,f0890_35,315
768,f0892_23,327
769,f0893_25,324
770,f0894_09,348
771,f0896_44,362
772,f0898_29,333
773,f0899_05,285
774,f0900_42,335
775,f0901_39,327
776,f0902_17,353
777,f0903_42,330
778,f0904_04,275
779,f0905_43,261
780,f0907_00,252
781,f0910_22,316
782,f0911_02,345
783,f0912_01,322
784,f0913_31,301
785,f0914_27,362
786,f0915_03,298
787,f0916_49,269
788,f0917_11,317
789,f0918_47,287
790,f0919_47,354
791,f0921_40,295
792,f0922_02,278
793,f0923_31,297
794,f0925_21,372
795,f0926_26,284
796,f0927_44,254
797,f0928_42,350
798,f0929_23,318
799,f0930_07,310
800,f0931_37,357
801,f0932_44,315
802,f0933_38,331
803,f0934_12,324
804,f0935_28,309
805,f0936_34,268
806,f0938_10,359
807,f0939_32,291
808,f0940_45,315
809,f0943_40,354
810,f0944_27,334
811,f0945_28,323
812,f0946_31,274
813,f0947_41,296
814,f0948_01,271
815,f0949_02,283
816,f0950_21,262
817,f0951_29,356
818,f0952_49,328
819,f0954_02,260
820,f0955_30,320
821,f0956_32,315
822,f0957_15,301
823,f0958_28,266
824,f0959_27,316
825,f0961_08,362
826,f0962_04,272
827,f0965_28,286
828,f0966_44,289
829,f0967_29,349
830,f0968_30,292
831,f0970_15,308
832,f0971_24,299
833,f0972_43,319
834,f0973_47,326
835,f0974_14,261
836,f0975_48,272
837,f0977_37,333
838,f0978_05,309
839,f0980_43,301
840,f0981_17,305
841,f0982_06,315
842,f0984_25,312
843,f0986_02,305
844,f0987_34,258
845,f0988_45,311
846,f0989_33,359
847,f0990_06,297
848,f0991_47,358
849,f0992_04,305
850,f0993_30,317
851,f0995_43,302
852,f0996_01,378
853,f0997_34,311
854,f0999_29,316
855,f1000_45,309
856,f1001_28,323
857,f1004_07,294
858,f1007_22,306
859,f1008_28,328
860,f1013_47,261
861,f1014_23,329
862,f1015_14,279
863,f1020_31,277
864,f1024_46,328
865,f1027_05,272
866,f1028_20,282
867,f1029_30,282
868,f1030_04,270
869,f1031_37,328
870,f1032_06,270
871,f1034_02,270
872,f1035_22,317
873,f1038_35,289
874,f1039_40,297
875,f1042_08,292
876,f1043_42,280
877,f1044_04,310
878,f1046_14,312
879,f1047_26,330
880,f1048_31,292
881,f1050_39,268
882,f1051_38,288
883,f1052_05,263
884,f1053_00,264
885,f1054_20,253
886,f1057_34,263
887,f1058_32,281
888,f1060_13,288
889,f1062_28,288
890,f1063_36,338
891,f1064_32,250
892,f1065_10,264
893,f1067_20,289
894,f1069_22,273
895,f1071_37,296
896,f1074_34,319
897,f1075_00,265
898,f1078_11,276
899,f1080_00,261
900,f1083_27,318
901,f1084_48,256
902,f1086_15,339
903,f1087_32,259
904,f1088_00,325
905,f1089_04,330
906,f1091_00,370
907,f1093_13,276
908,f1095_24,270
909,f1096_05,286
910,f1097_20,267
911,f1099_37,250
912,f1104_24,291
913,f1108_14,257
914,f1109_36,287
915,f1111_02,333
916,f1112_30,351
917,f1113_16,302
918,f1115_26,268
919,f1116_09,314
920,f1118_23,294
921,f1120_05,360
922,f1124_24,339
923,f1125_41,309
924,f1126_06,273
925,f1127_01,276
926,f1129_22,261
927,f1130_48,260
928,f1131_00,294
929,f1132_19,322
930,f1134_40,266
931,f1135_17,272
932,f1137_07,292
933,f1141_12,254
934,f1143_43,336
935,f1153_08,324
936,f1155_22,309
937,f1157_43,257
938,f1166_04,287
939,f1167_31,266
940,f1168_30,284
941,f1169_08,312
942,f1170_00,336
943,f1171_06,280
944,f1172_25,270
945,f1175_48,270
946,f1176_40,293
947,f1177_42,264
948,f1180_21,326
949,f1181_27,284
950,f1182_38,315
951,f1183_38,278
952,f1187_49,266
953,f1191_18,310
954,f1196_16,306
955,f1198_41,292
956,f1199_24,252
957,f1203_10,270
958,f1204_09,344
959,f1205_25,311
960,f1206_36,279
961,f1208_33,297
962,f1211_04,341
963,f1214_39,279
964,f1215_02,335
965,f1216_32,287
966,f1217_02,274
967,f1219_26,276
968,f1222_04,266
969,f1223_27,278
970,f1225_06,324
971,f1226_13,298
972,f1231_36,300
973,f1233_46,356
974,f1235_34,294
975,f1238_43,336
976,f1240_01,279
977,f1241_00,348
978,f1242_30,255
979,f1243_07,255
980,f1244_09,346
981,f1245_39,317
982,f1246_39,287
983,f1247_15,349
984,f1249_33,269
985,f1251_10,349
986,f1253_43,271
987,f1254_34,283
988,f1255_13,320
989,f1257_26,288
990,f1259_08,250
991,f1263_18,280
992,f1266_29,302
993,f1270_28,287
994,f1272_09,278
995,f1273_29,283
996,f1275_19,270
997,f1276_10,342
998,f1277_02,360
999,f1278_22,282
